时间轴	源量程	源程反应性	中间量程	中间反应性	功率量程	功率反应性	硼浓度PPM	D棒位	备注说明
标志->	0	7	1	7	2	7	5	3	3
11.800000	8.006541	0.000000	8.006541E-14	0.000000	2.301881E-14	0.000000	1.000000	112.500000	NaN
11.900000	8.006567	0.000000	8.006567E-14	0.000000	2.301888E-14	0.000000	1.000000	112.500000	NaN
12.000000	8.006593	0.000000	8.006593E-14	0.000000	2.301896E-14	0.000000	1.000000	112.500000	NaN
12.100000	8.006619	0.000000	8.006619E-14	0.000000	2.301903E-14	0.000000	1.000000	112.500000	NaN
12.200000	8.006645	0.000000	8.006645E-14	0.000000	2.301911E-14	0.000000	1.000000	112.500000	NaN
12.300000	8.006671	0.000000	8.006671E-14	0.000000	2.301918E-14	0.000000	1.000000	112.500000	NaN
12.400000	8.006697	0.000000	8.006697E-14	0.000000	2.301925E-14	0.000000	1.000000	112.500000	NaN
12.500000	8.006723	0.000000	8.006723E-14	0.000000	2.301933E-14	0.000000	1.000000	112.500000	NaN
12.600000	8.006748	0.000000	8.006748E-14	0.000000	2.301940E-14	0.000000	1.000000	112.500000	NaN
12.700000	8.006774	0.000000	8.006774E-14	0.000000	2.301947E-14	0.000000	1.000000	112.500000	NaN
12.800000	8.006799	0.000000	8.006799E-14	0.000000	2.301955E-14	0.000000	1.000000	112.500000	NaN
12.900000	8.006825	0.000000	8.006825E-14	0.000000	2.301962E-14	0.000000	1.000000	112.500000	NaN
13.000000	8.006850	0.000000	8.006850E-14	0.000000	2.301969E-14	0.000000	1.000000	112.500000	NaN
13.100000	8.006876	0.000000	8.006876E-14	0.000000	2.301977E-14	0.000000	1.000000	112.500000	NaN
13.200000	8.006901	0.000000	8.006901E-14	0.000000	2.301984E-14	0.000000	1.000000	112.500000	NaN
13.300000	8.006926	0.000000	8.006926E-14	0.000000	2.301991E-14	0.000000	1.000000	112.500000	NaN
13.400000	8.006951	0.000000	8.006951E-14	0.000000	2.301998E-14	0.000000	1.000000	112.500000	NaN
13.500000	8.006976	0.000000	8.006976E-14	0.000000	2.302006E-14	0.000000	1.000000	112.500000	NaN
13.600000	8.007001	0.000000	8.007001E-14	0.000000	2.302013E-14	0.000000	1.000000	112.500000	NaN
13.700000	8.007026	0.000000	8.007026E-14	0.000000	2.302020E-14	0.000000	1.000000	112.500000	NaN
13.800000	8.007051	0.000000	8.007051E-14	0.000000	2.302027E-14	0.000000	1.000000	112.500000	NaN
13.900000	8.007076	0.000000	8.007076E-14	0.000000	2.302034E-14	0.000000	1.000000	112.500000	NaN
14.000000	8.007101	0.000000	8.007101E-14	0.000000	2.302042E-14	0.000000	1.000000	112.500000	NaN
14.100000	8.007126	0.000000	8.007126E-14	0.000000	2.302049E-14	0.000000	1.000000	112.500000	NaN
14.200000	8.007150	0.000000	8.007150E-14	0.000000	2.302056E-14	0.000000	1.000000	112.500000	NaN
14.300000	8.007175	0.000000	8.007175E-14	0.000000	2.302063E-14	0.000000	1.000000	112.500000	NaN
14.400000	8.007200	0.000000	8.007200E-14	0.000000	2.302070E-14	0.000000	1.000000	112.500000	NaN
14.500000	8.007224	0.000000	8.007224E-14	0.000000	2.302077E-14	0.000000	1.000000	112.500000	NaN
14.600000	8.007249	0.000000	8.007249E-14	0.000000	2.302084E-14	0.000000	1.000000	112.500000	NaN
14.700000	8.007273	0.000000	8.007273E-14	0.000000	2.302091E-14	0.000000	1.000000	112.500000	NaN
14.800000	8.007297	0.000000	8.007297E-14	0.000000	2.302098E-14	0.000000	1.000000	112.500000	NaN
14.900000	8.007322	0.000000	8.007322E-14	0.000000	2.302105E-14	0.000000	1.000000	112.500000	NaN
15.000000	8.007346	0.000000	8.007346E-14	0.000000	2.302112E-14	0.000000	1.000000	112.500000	NaN
15.100000	8.007370	0.000000	8.007370E-14	0.000000	2.302119E-14	0.000000	1.000000	112.500000	NaN
15.200000	8.007394	0.000000	8.007394E-14	0.000000	2.302126E-14	0.000000	1.000000	112.500000	NaN
15.300000	8.007419	0.000000	8.007419E-14	0.000000	2.302133E-14	0.000000	1.000000	112.500000	NaN
15.400000	8.007443	0.000000	8.007443E-14	0.000000	2.302140E-14	0.000000	1.000000	112.500000	NaN
15.500000	8.007467	0.000000	8.007467E-14	0.000000	2.302147E-14	0.000000	1.000000	112.500000	NaN
15.600000	8.007491	0.000000	8.007491E-14	0.000000	2.302154E-14	0.000000	1.000000	112.500000	NaN
15.700000	8.007515	0.000000	8.007515E-14	0.000000	2.302160E-14	0.000000	1.000000	112.500000	NaN
15.800000	8.007539	0.000000	8.007539E-14	0.000000	2.302167E-14	0.000000	1.000000	112.500000	NaN
15.900000	8.007562	0.000000	8.007562E-14	0.000000	2.302174E-14	0.000000	1.000000	112.500000	NaN
16.000000	8.007586	0.000000	8.007586E-14	0.000000	2.302181E-14	0.000000	1.000000	112.500000	NaN
16.100000	8.007610	0.000000	8.007610E-14	0.000000	2.302188E-14	0.000000	1.000000	112.500000	NaN
